Nugget,TRUE,0.25,0.25 Gold,,,,,,
Emerald Turtle,FALSE,0,0.5 Gold (3x3 AOE),,,,,,
Pickaxe Shark,FALSE,0,-15% Gold recovery time & 10% chance of instant recover,,,,,,
Bud Stem,FALSE,0,0.2 Gold,,,,,,
,,,,,,,,,
,Total,0.35,Add,0,,,,,
,,,,,,,,,
Crimstone,,,,,,,,,
# of Crimstone,4,<-- Change this number to the number of crimstone nodes you have,,,,,,,
,,,,,,,,,
Crimstone Armor,TRUE,0.1,0.1 Crimstone,,,,,,
Crim Peckster,FALSE,0,0.1 Crimstone,,,,,,
Crimson Carp,FALSE,0,0.05 Crimstone,,,,,,
Crimstone Hammer,FALSE,0,2 crimstone on 5th mine (2/5=0.4 per mine),,,,,,
Crimstone Amulet,FALSE,0,20% crimstone cooldown time,,,,,,
,,,,,,,,,
,Total,0.1,,,,,,,
,,,,,,,,,
Misc,,,,,,,,,
Toolshed,TRUE,1.5,50% more tools in workbench,,,,,,
,,,,,,,,,
Skills,,,,,,,,,
Wood,,,,,,,,,
Lumberjack's Extra,TRUE,0.1,0.1 wood,,,,,,
Tree Charge,FALSE,0,-10% tree growth time,,,,,,
More Axes,TRUE,50,50 more axe stock,,,,,,
Tough Tree,TRUE,0.2,10% chance of x3 wood,,,,,,
Feller's Discount,TRUE,0.8,-20% axe cost,,,,,,
Tree Turnaround,TRUE,1,15% chance for tree regrowth,,3,extra tree,,,
,,,,,,,,,
,Total,0.3,,,,,,,
,,,,,,,,,
Stone,,,,,,,,,
Rock'N'Roll,TRUE,0.1,0.1 stone,,,,,,
Speed Miner,FALSE,0,-20% stone recovery time,,,,,,
Rocky Favor,TRUE,1,1 stone but -0.5 iron,,-0.5,,,,
,,,,,,,,,
,Total,0.6,,,,,,,
,,,,,,,,,
Iron,,,,,,,,,
Iron Bumpkin,TRUE,0.1,0.1 iron,,,,,,
Iron Hustle,TRUE,1,-30% iron recovery time,,,,,,
Ferrous Favor,TRUE,1,1 iron but -0.5 stone,,-0.5,,,,
,,,,,,,,,
,Total,0.6,,,,,,,
,,,,,,,,,
Gold,,,,,,,,,
Midas Sprint,TRUE,1,-10% gold recovery time,,,,,,
Golden Touch,TRUE,0.5,0.5 gold ,,,,,,
Midas Rush,TRUE,1,-20% gold recovery time,,,,,,
,,,,,,,,,
,Total,0.5,,,,,,,
,,,,,,,,,
Crimstone,,,,,,,,,
Fire Kissed,TRUE,0.4,1 crimstone on 5th mine (1/5=0.2 per mine) + native 0.2,,,,,,
Fireside Alchemist,FALSE,0,-15% crimstone recovery time,,,,,,
,,,,,,,,,
,Total,0.4,,,,,,,
,,,,,,,,,
Misc,,,,,,,,,
Frugal Miner,TRUE,0.8,-20% coin cost for all pickaxes,,,,,,
More Picks,TRUE,Pickaxe,Stone Pick,Iron Pick,Gold pick,,,,
(skill adds more picks to blacksmith shop),,70,20,7,2,,,,
,,,,,,,,,
,,,,,,,,,
," 70 Pickaxe, 20 Stone Pickaxe, 7 iron pickaxe, 2 gold pickaxe",,,,,,,,
